[[wikidata:Q12252922]],Ainara Legardon,artista bizkaitarra
[[wikidata:Q410778]],Aitor,gizonezko izena
[[wikidata:Q313053]],Alboka,Euskal musika tresna aerofonoa
[[wikidata:Q4761724]],Anestesia,Wikimediako argipen orri
[[wikidata:Q12253579]],Anje Duhalde,Kantari eta kanta-egile lapurtarra
[[wikidata:Q114311010]],Antton Aranburu,Wikimediako argipen orri
[[wikidata:Q8201937]],Antton Valverde,Euskal musikagilea
[[wikidata:Q12254284]],Asier Serrano,euskal idazlea
[[wikidata:Q5431]],Auritz,Nafarroa Garaiko udalerria
[[wikidata:Q5296]],Azala,Wikipediako orri nagusia
[[wikidata:Q11469]],beira,material garden ez-organikoa
[[wikidata:Q43489]],Belatz,Falkonidoen familiako Falco generoko hegazti falkoniforme harraparien izen generiko arrunta. Hegoak zorrotzak eta isatsa luzea dituzte. Emea arra baino handiagoa izaten da eta oso hegalari onak dira.
[[wikidata:Q61509]],bidaia,aski aldenduta dauden kokapen geografiko desberdinen arteko mugimendua
[[wikidata:Q838811]],nekazari,"lurra lantzen duen pertsona: erein, uzta batu, etab."
[[wikidata:Q12256126]],Delirium Tremens,Wikimediako argipen orri
[[wikidata:Q349042]],Egan,Wikimediako argipen orri
[[wikidata:Q12256591]],Eire,Wikimediako argipen orri
[[wikidata:Q12256621]],Ekiza,"Artzibarko herri hustua, Nafarroa Garaian"
[[wikidata:Q76414962]],Elodie Baffalio,piano-jotzaile
[[wikidata:Q72402629]],Eñaut Zubizarreta Mendieta,Aretxabaletako musikagilea
[[wikidata:Q12256958]],Eraul,"Deierriko kontzejua, Nafarroa Garaia"
[[wikidata:Q974519]],Errobi,Euskal Herriko ibaia
[[wikidata:Q220]],Erroma,Italiako hiriburua
[[wikidata:Q114363188]],Esanezin,"Ianire Aranzaberen (Altzagarate, Gipuzkoa, 1999ko urriaren 3a) proiektu musikala da"
[[wikidata:Q3947]],etxe,Bertan bizitzeko eraikuntza
[[wikidata:Q3326886]],Ez Dok Amairu,euskal kulturaren aldeko mugimendu aitzindaria (1966-1972)
[[wikidata:Q1394921]],Falta,Wikimediako argipen orri
[[wikidata:Q1495874]],Gatz,Wikimediako argipen orri
[[wikidata:Q4785]],Habia,hegaztiek eratutako egitura
[[wikidata:Q104731952]],Haizea Martiartu,"saxofoi-jotzailea, moldatzailea eta konpositorea"
[[wikidata:Q12258962]],Hedoi Etxarte,euskal idazlea
[[wikidata:Q8538065]],Higa,Euskal Herriko mendia
[[wikidata:Q9006782]],Idoia,emakume izena
[[wikidata:Q2748075]],Intza,Araizko kontzejua
[[wikidata:Q1403826]],Itziar,Debako auzoa
[[wikidata:Q11684287]],Jabier Muguruza,Irundar ospetsua
[[wikidata:Q12260294]],Jean Bordaxar,Zuberotar aktorea eta kantaria
[[wikidata:Q12260514]],Jon Enbeita,euskal idazlea
[[wikidata:Q43371138]],Julen,gizonezko izena
[[wikidata:Q61119379]],Julen Alonso,Orioko trikitilaria
[[wikidata:Q131263]],kuartel,polizia edo armada banatzen den postu edo unitateetariko bakoitza
[[wikidata:Q12261413]],Kemen Lertxundi,euskal idazlea
[[wikidata:Q966088]],Kepa Junkera,bizkaitar musikagilea
[[wikidata:Q16518008]],Kinkila,Wikimediako argipen orri
[[wikidata:Q12261775]],Labrit,Wikimediako argipen orri
[[wikidata:Q1647913]],Lantz,Nafarroa Garaiko udalerria
[[wikidata:Q12261936]],Larrepetit,liburua
[[wikidata:Q10561458]],Lif,Wikimediako argipen orri
[[wikidata:Q419706]],Lor,Wikimediako argipen orri
[[wikidata:Q401496]],Lorelei,Wikimediako argipen orri
[[wikidata:Q2]],Lurra,Eguzki Sistemako hirugarren planeta
[[wikidata:Q12262824]],Maddi Oihenart,euskal kantaria
[[wikidata:Q35640749]],Maddi Zubeldia,euskal idazlea
[[wikidata:Q45529]],mamu,hildakoen izpiritua hil eta gero mundu honetan agertzeko hartzen duten forma kultura askotan
[[wikidata:Q3285659]],Manex Pagola,euskal idazlea
[[wikidata:Q31836976]],Markel Gajate,"euskal aktore, antzezle eta modeloa"
[[wikidata:Q379992]],Mikel Laboa,Euskal kantu berriko donostiar kantaria
[[wikidata:Q3817992]],Mikel Urdangarin,euskal kantaria
[[wikidata:Q12263805]],Andoni Tolosa,euskal idazlea
[[wikidata:Q133346]],muga,bi entitate politiko edo juridikoen arteko banaketa gune geografikoa
[[wikidata:Q28086552]],Nikotina,konposatu kimiko
[[wikidata:Q182767]],oihartzun,fenomeno akustikoa
[[wikidata:Q11794497]],OST,Wikimediako argipen orri
[[wikidata:Q3326739]],Pantxoa eta Peio,euskal kantari bikotea
[[wikidata:Q11699068]],Petti,Berako kantaria
[[wikidata:Q28801217]],Ro,Wikimediako argipen orri
[[wikidata:Q81470]],Sacco,udalerri italiako
[[wikidata:Q12266752]],Sagarroi,Wikimediako argipen orri
[[wikidata:Q8538692]],Saioa,Euskal Herriko mendia
[[wikidata:Q956878]],Santa Barbara,Wikimediako argipen orri
[[wikidata:Q12267097]],Sarkor,"Deformazio-ehundurez mintzatuz, arroka guztian zehar uniformeki garatuta dagoena, etenune nabarmenik ez duena. Esaterako, arbel-klibajea"
[[wikidata:Q3393843]],Txuma Murugarren,euskal idazlea
[[wikidata:Q178371]],Unai Etxebarria,txirrindulari venezuelarra
[[wikidata:Q12268992]],Pantxoa Bergara,euskal idazlea
[[wikidata:Q104665919]],XSakara,Bermeoko rapeatzailea
[[wikidata:Q183660]],Ziraun,"Angidoen familiako narrasti eskuamatua, 50 cm-ko luzera izan dezakeena. Ez du gorputz-adarrik eta sugandilaren antzeko burua eta gorputza zilindrikoa du. Intsektuz, barez eta zizarez elikatzen da eta egun argiz da aktiboa"
[[wikidata:Q12269397]],Zorion Egileor,aktore espainiarra
